"DATE","TIME PERIOD","Total excess reserves of credit institutions subject to minimum reserve requirements in Austria (BSI.M.AT.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Belgium (BSI.M.BE.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Cyprus (BSI.M.CY.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Germany (BSI.M.DE.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Estonia (BSI.M.EE.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Spain (BSI.M.ES.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Finland (BSI.M.FI.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in France (BSI.M.FR.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Greece (BSI.M.GR.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Ireland (BSI.M.IE.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Italy (BSI.M.IT.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Lithuania (BSI.M.LT.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Luxembourg (BSI.M.LU.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Latvia (BSI.M.LV.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Malta (BSI.M.MT.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Netherlands (BSI.M.NL.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Portugal (BSI.M.PT.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Slovenia (BSI.M.SI.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Slovakia (BSI.M.SK.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in Croatia (BSI.M.HR.N.R.LRE.X.1.A1.3000.Z01.E)","Total excess reserves of credit institutions subject to minimum reserve requirements in the euro area (BSI.M.U2.N.R.LRE.X.1.A1.3000.Z01.E)"
"1999-02-28","1999Feb","","","","","","","","","","","","","","","","","","","","","1017.00"
"1999-03-31","1999Mar","","","","","","","","","","","","","","","","","","","","","1605.00"
"1999-04-30","1999Apr","","","","","","","","","","","","","","","","","","","","","1106.00"
"1999-05-31","1999May","","","","","","","","","","","","","","","","","","","","","1034.00"
"1999-06-30","1999Jun","","","","","","","","","","","","","","","","","","","","","941.00"
"1999-07-31","1999Jul","","","","","","","","","","","","","","","","","","","","","982.00"
"1999-08-31","1999Aug","","","","","","","","","","","","","","","","","","","","","768.00"
"1999-09-30","1999Sep","","","","","","","","","","","","","","","","","","","","","634.00"
"1999-10-31","1999Oct","","","","","","","","","","","","","","","","","","","","","705.00"
"1999-11-30","1999Nov","","","","","","","","","","","","","","","","","","","","","710.00"
"1999-12-31","1999Dec","","","","","","","","","","","","","","","","","","","","","734.00"
"2000-01-31","2000Jan","","","","","","","","","","","","","","","","","","","","","961.00"
"2000-02-29","2000Feb","","","","","","","","","","","","","","","","","","","","","578.00"
"2000-03-31","2000Mar","","","","","","","","","","","","","","","","","","","","","584.00"
"2000-04-30","2000Apr","","","","","","","","","","","","","","","","","","","","","966.00"
"2000-05-31","2000May","","","","","","","","","","","","","","","","","","","","","683.00"
"2000-06-30","2000Jun","","","","","","","","","","","","","","","","","","","","","721.00"
"2000-07-31","2000Jul","","","","","","","","","","","","","","","","","","","","","819.00"
"2000-08-31","2000Aug","","","","","","","","","","","","","","","","","","","","","616.00"
"2000-09-30","2000Sep","","","","","","","","","","","","","","","","","","","","","688.00"
"2000-10-31","2000Oct","","","","","","","","","","","","","","","","","","","","","756.00"
"2000-11-30","2000Nov","","","","","","","","","","","","","","","","","","","","","610.00"
"2000-12-31","2000Dec","","","","","","","","","","","","","","","","","","","","","742.00"
"2001-01-31","2001Jan","","","","","","","","","","","","","","","","","","","","","619.00"
"2001-02-28","2001Feb","","","","","","","","","","","","","","","","","","","","","603.00"
"2001-03-31","2001Mar","","","","","","","","","","","","","","","","","","","","","590.00"
"2001-04-30","2001Apr","","","","","","","","","","","","","","","","","","","","","581.00"
"2001-05-31","2001May","","","","","","","","","","","","","","","","","","","","","616.00"
"2001-06-30","2001Jun","","","","","","","","","","","","","","","","","","","","","685.00"
"2001-07-31","2001Jul","","","","","","","","","","","","","","","","","","","","","694.00"
"2001-08-31","2001Aug","","","","","","","","","","","","","","","","","","","","","627.00"
"2001-09-30","2001Sep","","","","","","","","","","","","","","","","","","","","","784.00"
"2001-10-31","2001Oct","","","","","","","","","","","","","","","","","","","","","659.00"
"2001-11-30","2001Nov","","","","","","","","","","","","","","","","","","","","","598.00"
"2001-12-31","2001Dec","","","","","","","","","","","","","","","","","","","","","994.00"
